Method,Name,Error,Occurrences
GET,/,RemoteDisconnected('Remote end closed connection without response'),8
GET,/,"ConnectionAbortedError(10053, 'Uma conexão estabelecida foi anulada pelo software no computador host', None, 10053, None)",1
