Type;Name;Request Count;Failure Count;Median Response Time;Average Response Time;Min Response Time;Max Response Time;Average Content Size;Requests/s;Failures/s;50%;66%;75%;80%;90%;95%;98%;99%;99.9%;99.99%;100%
GET;/;10502;9;140.0;20.749.280.209.483.900;20.199.000.000.502.500;26.765.716.999.998.400;8.415.881.574.938.100;27.277.925.777.352.100;0.023376626546959576;140;170;200;230;360;610;940;1200;2000;2400;2700
;Aggregated;10502;9;140.0;20.749.280.209.483.900;20.199.000.000.502.500;26.765.716.999.998.400;8.415.881.574.938.100;27.277.925.777.352.100;0.023376626546959576;140;170;200;230;360;610;940;1200;2000;2400;2700
