Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,941,0,86,100.6410019131408,54.586100042797625,368.69860003935173,84022.0,3.2339651266532696,0.0,86,98,110,110,150,200,270,320,370,370,370
,Aggregated,941,0,86,100.6410019131408,54.586100042797625,368.69860003935173,84022.0,3.2339651266532696,0.0,86,98,110,110,150,200,270,320,370,370,370
