Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,10235,484,610.0,1515.4498145674322,4.037999955471605,8805.702199984808,11198.86829506595,32.767717539513484,1.5495432622495873,610,960,1500,2600,5000,5800,6600,7100,8000,8800,8800
,Aggregated,10235,484,610.0,1515.4498145674322,4.037999955471605,8805.702199984808,11198.86829506595,32.767717539513484,1.5495432622495873,610,960,1500,2600,5000,5800,6600,7100,8000,8800,8800
