Type;Name;Request Count;Failure Count;Median Response Time;Average Response Time;Min Response Time;Max Response Time;Average Content Size;Requests/s;Failures/s;50%;66%;75%;80%;90%;95%;98%;99%;99.9%;99.99%;100%
GET;/;8101;6;110.0;1.979.241.805.086.750;296.480.004.908.517;35.672.140.999.813.500;839.597.691.643.007;26.481.266.136.288.300;0.019613331294621644;110;130;140;160;260;580;1600;2100;2900;3600;3600
;Aggregated;8101;6;110.0;1.979.241.805.086.750;296.480.004.908.517;35.672.140.999.813.500;839.597.691.643.007;26.481.266.136.288.300;0.019613331294621644;110;130;140;160;260;580;1600;2100;2900;3600;3600
