Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,14826,9,3300.0,4654.801283569308,33.28119998332113,13113.154999911785,12061.29643868879,25.44670167574209,0.015447208625501066,3300,8000,8700,9000,9800,10000,11000,11000,12000,13000,13000
,Aggregated,14826,9,3300.0,4654.801283569308,33.28119998332113,13113.154999911785,12061.29643868879,25.44670167574209,0.015447208625501066,3300,8000,8700,9000,9800,10000,11000,11000,12000,13000,13000
