Type;Name;Request Count;Failure Count;Median Response Time;Average Response Time;Min Response Time;Max Response Time;Average Content Size;Requests/s;Failures/s;50%;66%;75%;80%;90%;95%;98%;99%;99.9%;99.99%;100%
GET;/;11428;0;490.0;44.391.502.481.617.900;4.233.939.998.084.670;20.357.006.000.122.000;11.589.757.262.863.100;25.723.123.331.573.600;0.0;490;520;530;550;580;610;660;700;1500;1900;2000
;Aggregated;11428;0;490.0;44.391.502.481.617.900;4.233.939.998.084.670;20.357.006.000.122.000;11.589.757.262.863.100;25.723.123.331.573.600;0.0;490;520;530;550;580;610;660;700;1500;1900;2000
